LOCATION,TIME,POP,Variable
AUT,2010,8361069.0,Total Population
AUT,2011,8388534.0,Total Population
AUT,2012,8426311.0,Total Population
AUT,2013,8477230.0,Total Population
AUT,2014,8543932.0,Total Population
AUT,2015,8629519.0,Total Population
AUT,2016,8739806.0,Total Population
AUT,2017,8795073.0,Total Population
AUT,2018,8837707.0,Total Population
AUT,2019,8877637.0,Total Population
AUT,2020,8916845.0,Total Population
AUT,2021,8951520.0,Total Population
AUT,2022,9052872.0,Total Population
AUT,2023,9087824.43118586,Total Population
AUT,2024,9105577.83916622,Total Population
AUT,2025,9127989.59486316,Total Population
AUT,2026,9155802.17542745,Total Population
AUT,2027,9187947.21744102,Total Population
AUT,2028,9219734.25580691,Total Population
AUT,2029,9250631.01299287,Total Population
AUT,2030,9280262.22099195,Total Population
AUT,2031,9308553.41346311,Total Population
AUT,2032,9335866.12121998,Total Population
AUT,2033,9362487.30997744,Total Population
AUT,2034,9391279.25109524,Total Population
AUT,2035,9418337.80733879,Total Population
AUT,2036,9443927.01724506,Total Population
AUT,2037,9468163.19056713,Total Population
AUT,2038,9490808.82387348,Total Population
AUT,2039,9512645.75829874,Total Population
AUT,2040,9533528.46240686,Total Population
AUT,2041,9553206.23291147,Total Population
AUT,2042,9572063.89731777,Total Population
AUT,2043,9589964.78148151,Total Population
AUT,2044,9607014.9478174,Total Population
AUT,2045,9623958.87106524,Total Population
AUT,2046,9640098.10566255,Total Population
AUT,2047,9655321.83452647,Total Population
AUT,2048,9668943.42219322,Total Population
AUT,2049,9681315.50825063,Total Population
AUT,2050,9692495.02779482,Total Population
BEL,2010,10896000.0,Total Population
BEL,2011,11038000.0,Total Population
BEL,2012,11107000.0,Total Population
BEL,2013,11159000.0,Total Population
BEL,2014,11209000.0,Total Population
BEL,2015,11274000.0,Total Population
BEL,2016,11331000.0,Total Population
BEL,2017,11375000.0,Total Population
BEL,2018,11427000.0,Total Population
BEL,2019,11489000.0,Total Population
BEL,2020,11544000.0,Total Population
BEL,2021,11592000.0,Total Population
BEL,2022,11693000.0,Total Population
BEL,2023,11759464.4187203,Total Population
BEL,2024,11807702.5990468,Total Population
BEL,2025,11855139.0352055,Total Population
BEL,2026,11900885.6367995,Total Population
BEL,2027,11945005.6217092,Total Population
BEL,2028,11989173.3828319,Total Population
BEL,2029,12033524.2514111,Total Population
BEL,2030,12077288.8227897,Total Population
BEL,2031,12120315.9377412,Total Population
BEL,2032,12163100.2620984,Total Population
BEL,2033,12205187.8309259,Total Population
BEL,2034,12249663.8312857,Total Population
BEL,2035,12293667.4823912,Total Population
BEL,2036,12336190.1720979,Total Population
BEL,2037,12377806.883358,Total Population
BEL,2038,12417747.1587047,Total Population
BEL,2039,12456644.7415943,Total Population
BEL,2040,12494033.9740973,Total Population
BEL,2041,12529983.8759016,Total Population
BEL,2042,12564272.2986879,Total Population
BEL,2043,12596853.0983276,Total Population
BEL,2044,12627616.3341599,Total Population
BEL,2045,12656435.2198411,Total Population
BEL,2046,12683577.9822065,Total Population
BEL,2047,12708153.7143096,Total Population
BEL,2048,12730179.446441,Total Population
BEL,2049,12750096.0581217,Total Population
BEL,2050,12768424.0945335,Total Population
CZE,2010,10517247.0,Total Population
CZE,2011,10496672.0,Total Population
CZE,2012,10509286.0,Total Population
CZE,2013,10510719.0,Total Population
CZE,2014,10524783.0,Total Population
CZE,2015,10542942.0,Total Population
CZE,2016,10565284.0,Total Population
CZE,2017,10589526.0,Total Population
CZE,2018,10626430.0,Total Population
CZE,2019,10669324.0,Total Population
CZE,2020,10700155.0,Total Population
CZE,2021,10697314.0,Total Population
CZE,2022,10687900.0,Total Population
CZE,2023,10758432.9324876,Total Population
CZE,2024,10729251.3757316,Total Population
CZE,2025,10698805.0805144,Total Population
CZE,2026,10667747.2206101,Total Population
CZE,2027,10635100.9748749,Total Population
CZE,2028,10604628.2246651,Total Population
CZE,2029,10574819.7969723,Total Population
CZE,2030,10544656.2805696,Total Population
CZE,2031,10514150.5739333,Total Population
CZE,2032,10484130.4258952,Total Population
CZE,2033,10454965.7216489,Total Population
CZE,2034,10444514.1266496,Total Population
CZE,2035,10434212.3275425,Total Population
CZE,2036,10423429.4522849,Total Population
CZE,2037,10414530.8619186,Total Population
CZE,2038,10406729.6852604,Total Population
CZE,2039,10400240.6253431,Total Population
CZE,2040,10394629.7674847,Total Population
CZE,2041,10389536.551931,Total Population
CZE,2042,10384752.0161617,Total Population
CZE,2043,10380782.9221273,Total Population
CZE,2044,10376895.9477268,Total Population
CZE,2045,10372493.1287452,Total Population
CZE,2046,10367885.2038975,Total Population
CZE,2047,10363393.8382254,Total Population
CZE,2048,10359064.3836693,Total Population
CZE,2049,10354271.3633227,Total Population
CZE,2050,10349650.557934,Total Population
DNK,2010,5547000.0,Total Population
DNK,2011,5570000.0,Total Population
DNK,2012,5591000.0,Total Population
DNK,2013,5613000.0,Total Population
DNK,2014,5643000.0,Total Population
DNK,2015,5682000.0,Total Population
DNK,2016,5729000.0,Total Population
DNK,2017,5765000.0,Total Population
DNK,2018,5794000.0,Total Population
DNK,2019,5817000.0,Total Population
DNK,2020,5830000.0,Total Population
DNK,2021,5854000.0,Total Population
DNK,2022,5906000.0,Total Population
DNK,2023,5940377.89555783,Total Population
DNK,2024,5964495.31417373,Total Population
DNK,2025,5987221.32784796,Total Population
DNK,2026,6008492.772736,Total Population
DNK,2027,6027930.48820094,Total Population
DNK,2028,6047179.12038256,Total Population
DNK,2029,6065627.52740338,Total Population
DNK,2030,6083204.9757457,Total Population
DNK,2031,6099508.90670335,Total Population
DNK,2032,6114006.00440439,Total Population
DNK,2033,6126504.45029296,Total Population
DNK,2034,6138782.34849906,Total Population
DNK,2035,6149659.23584958,Total Population
DNK,2036,6159142.09939595,Total Population
DNK,2037,6168083.35230654,Total Population
DNK,2038,6174833.81295364,Total Population
DNK,2039,6180636.35506869,Total Population
DNK,2040,6185532.89508855,Total Population
DNK,2041,6189129.72081443,Total Population
DNK,2042,6192028.12614169,Total Population
DNK,2043,6193996.67631215,Total Population
DNK,2044,6195396.25909815,Total Population
DNK,2045,6196363.55583328,Total Population
DNK,2046,6196901.02917685,Total Population
DNK,2047,6197202.8062409,Total Population
DNK,2048,6197202.99782409,Total Population
DNK,2049,6197022.08678222,Total Population
DNK,2050,6196908.44502322,Total Population
FIN,2010,5363400.0,Total Population
FIN,2011,5388300.0,Total Population
FIN,2012,5414000.0,Total Population
FIN,2013,5439000.0,Total Population
FIN,2014,5462500.0,Total Population
FIN,2015,5480500.0,Total Population
FIN,2016,5495300.0,Total Population
FIN,2017,5508200.0,Total Population
FIN,2018,5516200.0,Total Population
FIN,2019,5521600.0,Total Population
FIN,2020,5530700.0,Total Population
FIN,2021,5541500.0,Total Population
FIN,2022,5556900.0,Total Population
FIN,2023,5582892.83423405,Total Population
FIN,2024,5593064.39326996,Total Population
FIN,2025,5600138.7547438,Total Population
FIN,2026,5603718.81940598,Total Population
FIN,2027,5603538.58889421,Total Population
FIN,2028,5603331.21888353,Total Population
FIN,2029,5602698.08227808,Total Population
FIN,2030,5601533.91863085,Total Population
FIN,2031,5599709.38278482,Total Population
FIN,2032,5597495.99531181,Total Population
FIN,2033,5594652.18262684,Total Population
FIN,2034,5592708.73025342,Total Population
FIN,2035,5589700.87952206,Total Population
FIN,2036,5585244.71181975,Total Population
FIN,2037,5580252.39794292,Total Population
FIN,2038,5574252.55409716,Total Population
FIN,2039,5567892.63664891,Total Population
FIN,2040,5561188.81103142,Total Population
FIN,2041,5553929.40857491,Total Population
FIN,2042,5546109.40615352,Total Population
FIN,2043,5537786.34997505,Total Population
FIN,2044,5529064.86217124,Total Population
FIN,2045,5520138.18827109,Total Population
FIN,2046,5510877.00094528,Total Population
FIN,2047,5501773.51448431,Total Population
FIN,2048,5492254.0221415,Total Population
FIN,2049,5482324.45781205,Total Population
FIN,2050,5472196.88038645,Total Population
FRA,2010,65010975.0,Total Population
FRA,2011,65329800.0,Total Population
FRA,2012,65650975.0,Total Population
FRA,2013,65990875.0,Total Population
FRA,2014,66312100.0,Total Population
FRA,2015,66580925.0,Total Population
FRA,2016,66830925.0,Total Population
FRA,2017,67116450.0,Total Population
FRA,2018,67448750.0,Total Population
FRA,2019,67756025.0,Total Population
FRA,2020,68002450.0,Total Population
FRA,2021,68235700.0,Total Population
FRA,2022,68463850.0,Total Population
FRA,2023,68694147.9841048,Total Population
FRA,2024,68874445.7457452,Total Population
FRA,2025,69037187.3814361,Total Population
FRA,2026,69184516.2971456,Total Population
FRA,2027,69313569.9496399,Total Population
FRA,2028,69441344.6980192,Total Population
FRA,2029,69569907.7929075,Total Population
FRA,2030,69695683.9931389,Total Population
FRA,2031,69816873.9981474,Total Population
FRA,2032,69937201.8529573,Total Population
FRA,2033,70053206.6583585,Total Population
FRA,2034,70171827.5351484,Total Population
FRA,2035,70283232.6581393,Total Population
FRA,2036,70388032.4293957,Total Population
FRA,2037,70477479.3284592,Total Population
FRA,2038,70557581.652338,Total Population
FRA,2039,70625208.9036044,Total Population
FRA,2040,70678834.0994018,Total Population
FRA,2041,70720410.5827629,Total Population
FRA,2042,70750562.0929802,Total Population
FRA,2043,70770492.0645704,Total Population
FRA,2044,70780310.3717177,Total Population
FRA,2045,70781221.4222668,Total Population
FRA,2046,70767369.6283071,Total Population
FRA,2047,70742453.2719436,Total Population
FRA,2048,70704184.9369204,Total Population
FRA,2049,70656887.9640637,Total Population
FRA,2050,70603719.7154582,Total Population
DEU,2010,80284750.0,Total Population
DEU,2011,80275500.0,Total Population
DEU,2012,80426250.0,Total Population
DEU,2013,80646000.0,Total Population
DEU,2014,80983250.0,Total Population
DEU,2015,81687000.0,Total Population
DEU,2016,82349250.0,Total Population
DEU,2017,82657000.0,Total Population
DEU,2018,82905750.0,Total Population
DEU,2019,83093000.0,Total Population
DEU,2020,83161000.0,Total Population
DEU,2021,83196000.0,Total Population
DEU,2022,83797000.0,Total Population
DEU,2023,84258744.3713406,Total Population
DEU,2024,84494528.0337433,Total Population
DEU,2025,84669672.3945917,Total Population
DEU,2026,84783705.0325116,Total Population
DEU,2027,84830393.1952979,Total Population
DEU,2028,84879751.5728101,Total Population
DEU,2029,84926193.0982648,Total Population
DEU,2030,84964377.0183861,Total Population
DEU,2031,84997229.7453485,Total Population
DEU,2032,85025350.0471982,Total Population
DEU,2033,85045680.4778574,Total Population
DEU,2034,85096127.1571435,Total Population
DEU,2035,85133349.5743379,Total Population
DEU,2036,85155902.8502518,Total Population
DEU,2037,85171399.853693,Total Population
DEU,2038,85178651.0837112,Total Population
DEU,2039,85181071.8608514,Total Population
DEU,2040,85175494.2128092,Total Population
DEU,2041,85161436.2822165,Total Population
DEU,2042,85142453.0286819,Total Population
DEU,2043,85117749.7085142,Total Population
DEU,2044,85088940.8937731,Total Population
DEU,2045,85060068.8390507,Total Population
DEU,2046,85027779.9794717,Total Population
DEU,2047,84990436.1624227,Total Population
DEU,2048,84948377.3569117,Total Population
DEU,2049,84898801.2332524,Total Population
DEU,2050,84843869.8939052,Total Population
GRC,2010,11121383.0,Total Population
GRC,2011,11104944.0,Total Population
GRC,2012,11045010.0,Total Population
GRC,2013,10965214.0,Total Population
GRC,2014,10892381.0,Total Population
GRC,2015,10820912.0,Total Population
GRC,2016,10775979.0,Total Population
GRC,2017,10754688.0,Total Population
GRC,2018,10732887.0,Total Population
GRC,2019,10721566.0,Total Population
GRC,2020,10698590.0,Total Population
GRC,2021,10640409.0,Total Population
GRC,2022,10578016.0,Total Population
GRC,2023,10527896.0060418,Total Population
GRC,2024,10482179.7226784,Total Population
GRC,2025,10433808.2571404,Total Population
GRC,2026,10382275.5242043,Total Population
GRC,2027,10328231.11748,Total Population
GRC,2028,10274902.06918,Total Population
GRC,2029,10222272.0740083,Total Population
GRC,2030,10169998.5427736,Total Population
GRC,2031,10118705.503379,Total Population
GRC,2032,10068947.0519832,Total Population
GRC,2033,10019437.4589824,Total Population
GRC,2034,9970726.16402136,Total Population
GRC,2035,9921788.44911974,Total Population
GRC,2036,9872913.71093128,Total Population
GRC,2037,9825129.56497636,Total Population
GRC,2038,9777451.0199161,Total Population
GRC,2039,9730351.13464641,Total Population
GRC,2040,9683625.30104206,Total Population
GRC,2041,9636637.75658872,Total Population
GRC,2042,9589214.5238738,Total Population
GRC,2043,9541207.58303872,Total Population
GRC,2044,9493029.69490902,Total Population
GRC,2045,9444675.66372154,Total Population
GRC,2046,9395050.2552011,Total Population
GRC,2047,9344670.58494905,Total Population
GRC,2048,9293228.57769473,Total Population
GRC,2049,9240301.96924091,Total Population
GRC,2050,9186347.89472401,Total Population
HUN,2010,10000023.0,Total Population
HUN,2011,9971727.0,Total Population
HUN,2012,9920362.0,Total Population
HUN,2013,9893082.0,Total Population
HUN,2014,9866468.0,Total Population
HUN,2015,9843028.0,Total Population
HUN,2016,9814023.0,Total Population
HUN,2017,9787966.0,Total Population
HUN,2018,9775564.0,Total Population
HUN,2019,9771141.0,Total Population
HUN,2020,9750149.0,Total Population
HUN,2021,9709891.0,Total Population
HUN,2022,9683473.0,Total Population
HUN,2023,9650341.5574761,Total Population
HUN,2024,9633041.55287173,Total Population
HUN,2025,9616333.13999894,Total Population
HUN,2026,9599114.09443923,Total Population
HUN,2027,9580471.0066056,Total Population
HUN,2028,9561290.82901094,Total Population
HUN,2029,9541292.77916694,Total Population
HUN,2030,9521103.80579726,Total Population
HUN,2031,9500229.4274579,Total Population
HUN,2032,9479856.61752288,Total Population
HUN,2033,9459264.69682857,Total Population
HUN,2034,9439070.31681104,Total Population
HUN,2035,9417792.14697707,Total Population
HUN,2036,9395926.69539164,Total Population
HUN,2037,9374412.51285034,Total Population
HUN,2038,9352340.29469188,Total Population
HUN,2039,9332820.44470015,Total Population
HUN,2040,9314203.82749513,Total Population
HUN,2041,9295386.09195301,Total Population
HUN,2042,9276531.70324894,Total Population
HUN,2043,9257203.6794712,Total Population
HUN,2044,9237998.10843544,Total Population
HUN,2045,9218437.19708946,Total Population
HUN,2046,9199116.53256964,Total Population
HUN,2047,9179277.75806742,Total Population
HUN,2048,9159819.51565347,Total Population
HUN,2049,9140693.03414788,Total Population
HUN,2050,9122411.32652591,Total Population
ISL,2010,318000.0,Total Population
ISL,2011,319000.0,Total Population
ISL,2012,320700.0,Total Population
ISL,2013,323800.0,Total Population
ISL,2014,327400.0,Total Population
ISL,2015,330800.0,Total Population
ISL,2016,335400.0,Total Population
ISL,2017,343400.0,Total Population
ISL,2018,352700.0,Total Population
ISL,2019,360600.0,Total Population
ISL,2020,366500.0,Total Population
ISL,2021,372500.0,Total Population
ISL,2022,380200.0,Total Population
ISL,2023,388194.344179477,Total Population
ISL,2024,395353.428754956,Total Population
ISL,2025,402231.503526133,Total Population
ISL,2026,408816.768610097,Total Population
ISL,2027,415085.557468146,Total Population
ISL,2028,421285.389552227,Total Population
ISL,2029,427412.875491951,Total Population
ISL,2030,433458.112978526,Total Population
ISL,2031,439392.010407516,Total Population
ISL,2032,445249.997230858,Total Population
ISL,2033,451022.028605995,Total Population
ISL,2034,456787.465642621,Total Population
ISL,2035,462457.425808074,Total Population
ISL,2036,468001.850495426,Total Population
ISL,2037,473449.965798124,Total Population
ISL,2038,478772.008140905,Total Population
ISL,2039,483943.783577061,Total Population
ISL,2040,488993.482365796,Total Population
ISL,2041,493913.975272716,Total Population
ISL,2042,498699.226385538,Total Population
ISL,2043,503363.603279732,Total Population
ISL,2044,507896.207183362,Total Population
ISL,2045,512293.724261497,Total Population
ISL,2046,516576.702325245,Total Population
ISL,2047,520720.840546202,Total Population
ISL,2048,524735.135698726,Total Population
ISL,2049,528668.554827712,Total Population
ISL,2050,532477.665384314,Total Population
IRL,2010,4559769.0,Total Population
IRL,2011,4578543.0,Total Population
IRL,2012,4597439.0,Total Population
IRL,2013,4620042.0,Total Population
IRL,2014,4652460.0,Total Population
IRL,2015,4695773.0,Total Population
IRL,2016,4748994.0,Total Population
IRL,2017,4802275.0,Total Population
IRL,2018,4860651.0,Total Population
IRL,2019,4927173.0,Total Population
IRL,2020,4980326.0,Total Population
IRL,2021,5018628.0,Total Population
IRL,2022,5114710.0,Total Population
IRL,2023,5173000.44328326,Total Population
IRL,2024,5211723.49232838,Total Population
IRL,2025,5250258.70659234,Total Population
IRL,2026,5288921.16559762,Total Population
IRL,2027,5327835.98586228,Total Population
IRL,2028,5366322.95758142,Total Population
IRL,2029,5404622.47021972,Total Population
IRL,2030,5442811.90653857,Total Population
IRL,2031,5480814.05431494,Total Population
IRL,2032,5518806.52371204,Total Population
IRL,2033,5556589.46769109,Total Population
IRL,2034,5597096.0850637,Total Population
IRL,2035,5637068.92665743,Total Population
IRL,2036,5676218.38603637,Total Population
IRL,2037,5714766.56366128,Total Population
IRL,2038,5753090.84341687,Total Population
IRL,2039,5790552.73846748,Total Population
IRL,2040,5827362.83893615,Total Population
IRL,2041,5863154.619567,Total Population
IRL,2042,5897978.06579576,Total Population
IRL,2043,5931628.11373197,Total Population
IRL,2044,5964332.26627383,Total Population
IRL,2045,5995655.93584591,Total Population
IRL,2046,6024916.33663457,Total Population
IRL,2047,6052343.21551523,Total Population
IRL,2048,6077777.96866744,Total Population
IRL,2049,6101050.4670592,Total Population
IRL,2050,6122188.55431438,Total Population
ITA,2010,59819400.0,Total Population
ITA,2011,60026800.0,Total Population
ITA,2012,60191200.0,Total Population
ITA,2013,60311600.0,Total Population
ITA,2014,60320700.0,Total Population
ITA,2015,60229600.0,Total Population
ITA,2016,60115200.0,Total Population
ITA,2017,60002300.0,Total Population
ITA,2018,59877200.0,Total Population
ITA,2019,59729100.0,Total Population
ITA,2020,59438900.0,Total Population
ITA,2021,59133200.0,Total Population
ITA,2022,58941600.0,Total Population
ITA,2023,58960957.4928514,Total Population
ITA,2024,58957208.8655049,Total Population
ITA,2025,58965027.6598132,Total Population
ITA,2026,58986881.1503229,Total Population
ITA,2027,59019466.0459859,Total Population
ITA,2028,59056712.3555855,Total Population
ITA,2029,59095974.1275858,Total Population
ITA,2030,59133332.4876875,Total Population
ITA,2031,59172099.9693486,Total Population
ITA,2032,59207440.5402935,Total Population
ITA,2033,59244252.9432099,Total Population
ITA,2034,59286773.8466455,Total Population
ITA,2035,59325888.1074486,Total Population
ITA,2036,59361079.231064,Total Population
ITA,2037,59391233.607005,Total Population
ITA,2038,59416619.0950086,Total Population
ITA,2039,59438399.8621522,Total Population
ITA,2040,59449424.7319828,Total Population
ITA,2041,59451066.3272407,Total Population
ITA,2042,59440407.7425304,Total Population
ITA,2043,59419673.2285056,Total Population
ITA,2044,59387818.9430552,Total Population
ITA,2045,59341749.0212981,Total Population
ITA,2046,59284018.1344702,Total Population
ITA,2047,59215243.6739414,Total Population
ITA,2048,59133655.3894942,Total Population
ITA,2049,59038231.5698808,Total Population
ITA,2050,58929211.495869,Total Population
LUX,2010,507538.0,Total Population
LUX,2011,519425.0,Total Population
LUX,2012,531500.0,Total Population
LUX,2013,545325.0,Total Population
LUX,2014,558325.0,Total Population
LUX,2015,569400.0,Total Population
LUX,2016,584125.0,Total Population
LUX,2017,596976.0,Total Population
LUX,2018,608806.0,Total Population
LUX,2019,621500.0,Total Population
LUX,2020,631088.0,Total Population
LUX,2021,641038.0,Total Population
LUX,2022,655275.0,Total Population
LUX,2023,668158.662645067,Total Population
LUX,2024,679506.426851482,Total Population
LUX,2025,690593.44644777,Total Population
LUX,2026,701408.354711627,Total Population
LUX,2027,711916.259162888,Total Population
LUX,2028,722260.225847702,Total Population
LUX,2029,732437.10069017,Total Population
LUX,2030,742443.812294354,Total Population
LUX,2031,752252.668923885,Total Population
LUX,2032,761850.89213286,Total Population
LUX,2033,771192.833660242,Total Population
LUX,2034,780500.786317106,Total Population
LUX,2035,789564.198453537,Total Population
LUX,2036,798376.53302181,Total Population
LUX,2037,806923.44757865,Total Population
LUX,2038,815201.124795597,Total Population
LUX,2039,823225.296234667,Total Population
LUX,2040,831013.408414554,Total Population
LUX,2041,838537.498371782,Total Population
LUX,2042,845802.815494409,Total Population
LUX,2043,852860.520337867,Total Population
LUX,2044,859681.937715505,Total Population
LUX,2045,866258.406342485,Total Population
LUX,2046,872611.686541769,Total Population
LUX,2047,878753.694354622,Total Population
LUX,2048,884689.954174621,Total Population
LUX,2049,890410.591931039,Total Population
LUX,2050,895922.483291476,Total Population
NLD,2010,16615000.0,Total Population
NLD,2011,16693000.0,Total Population
NLD,2012,16755000.0,Total Population
NLD,2013,16804000.0,Total Population
NLD,2014,16865000.0,Total Population
NLD,2015,16940000.0,Total Population
NLD,2016,17030000.0,Total Population
NLD,2017,17131000.0,Total Population
NLD,2018,17232000.0,Total Population
NLD,2019,17345000.0,Total Population
NLD,2020,17442000.0,Total Population
NLD,2021,17533000.0,Total Population
NLD,2022,17703000.0,Total Population
NLD,2023,17854713.3518825,Total Population
NLD,2024,17963248.7221806,Total Population
NLD,2025,18058128.2104178,Total Population
NLD,2026,18140643.3317443,Total Population
NLD,2027,18209545.4952497,Total Population
NLD,2028,18278727.0879298,Total Population
NLD,2029,18346221.9060128,Total Population
NLD,2030,18411246.8153309,Total Population
NLD,2031,18473816.064093,Total Population
NLD,2032,18533661.5457021,Total Population
NLD,2033,18591011.3988553,Total Population
NLD,2034,18649922.2443495,Total Population
NLD,2035,18704959.7145707,Total Population
NLD,2036,18752857.103834,Total Population
NLD,2037,18796858.1131131,Total Population
NLD,2038,18833956.9293606,Total Population
NLD,2039,18866368.5261359,Total Population
NLD,2040,18895462.9495544,Total Population
NLD,2041,18920082.8068728,Total Population
NLD,2042,18940674.5837087,Total Population
NLD,2043,18958357.2961973,Total Population
NLD,2044,18971852.3987982,Total Population
NLD,2045,18981593.7959902,Total Population
NLD,2046,18989222.5479264,Total Population
NLD,2047,18994179.1882983,Total Population
NLD,2048,18996725.9681177,Total Population
NLD,2049,18997675.0706469,Total Population
NLD,2050,18997676.7816798,Total Population
NOR,2010,4889000.0,Total Population
NOR,2011,4953000.0,Total Population
NOR,2012,5019000.0,Total Population
NOR,2013,5080000.0,Total Population
NOR,2014,5137000.0,Total Population
NOR,2015,5190000.0,Total Population
NOR,2016,5236000.0,Total Population
NOR,2017,5277000.0,Total Population
NOR,2018,5312000.0,Total Population
NOR,2019,5348000.0,Total Population
NOR,2020,5379000.0,Total Population
NOR,2021,5408000.0,Total Population
NOR,2022,5457000.0,Total Population
NOR,2023,5481705.0733888,Total Population
NOR,2024,5502959.98208499,Total Population
NOR,2025,5530086.55616333,Total Population
NOR,2026,5562713.90731258,Total Population
NOR,2027,5600900.43442925,Total Population
NOR,2028,5638924.1684612,Total Population
NOR,2029,5676612.92500781,Total Population
NOR,2030,5713846.86681922,Total Population
NOR,2031,5750543.67658832,Total Population
NOR,2032,5786625.88778824,Total Population
NOR,2033,5821958.1902419,Total Population
NOR,2034,5858159.50114152,Total Population
NOR,2035,5893560.38398835,Total Population
NOR,2036,5928281.95812486,Total Population
NOR,2037,5962198.15021674,Total Population
NOR,2038,5995512.0132348,Total Population
NOR,2039,6028219.9393597,Total Population
NOR,2040,6060028.74307045,Total Population
NOR,2041,6090991.01051766,Total Population
NOR,2042,6121088.37425526,Total Population
NOR,2043,6150482.81586857,Total Population
NOR,2044,6179011.75160457,Total Population
NOR,2045,6206642.23211849,Total Population
NOR,2046,6233253.31307873,Total Population
NOR,2047,6258987.51548253,Total Population
NOR,2048,6284102.09954964,Total Population
NOR,2049,6308296.71343946,Total Population
NOR,2050,6331538.71913123,Total Population
POL,2010,38517000.0,Total Population
POL,2011,38526000.0,Total Population
POL,2012,38534000.0,Total Population
POL,2013,38502000.0,Total Population
POL,2014,38484000.0,Total Population
POL,2015,38455000.0,Total Population
POL,2016,38427000.0,Total Population
POL,2017,38422000.0,Total Population
POL,2018,38413000.0,Total Population
POL,2019,38386000.0,Total Population
POL,2020,38354000.0,Total Population
POL,2021,38162000.0,Total Population
POL,2022,37827000.0,Total Population
POL,2023,37886434.5753451,Total Population
POL,2024,37757204.0298307,Total Population
